,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
69,La1Os4P12,"BCC
",204,269.826,7.8243,[  7.050744   7.050744   7.050744 109.4712   109.4712   109.4712  ],,17,-6.61747,-0.000367289,1.14216,95,"[19.4343 17.1945 17.1987 17.1945 17.1945 15.066  15.1935 15.1935 15.0791
 15.066  15.1935 15.2067 15.066  15.1935 15.0791 15.066  15.1935]","[ 1.6882 -0.1022 -0.1129 -0.1022 -0.1022 -0.0969 -0.1138 -0.1138 -0.0985
 -0.0969 -0.1138 -0.1154 -0.0969 -0.1138 -0.0985 -0.0969 -0.1138]"
70,Ag1Te3,"RHL
",160,116.725,6.98028,[  5.329636   5.333421   5.333421 109.4856   109.4568   109.4568  ],,4,-2.51913,0.00015706,1.64819,29,[22.1709 31.518  31.518  31.518 ],[ 0.1569 -0.0523 -0.0523 -0.0523]
71,Mo8P5,"MCL
",6,190.196,8.05307,[ 3.220177  6.582338  9.51855  70.50925  90.       90.      ],,13,-7.48754,0.000100872,1.47681,73,"[14.4129 14.4605 14.2194 14.2699 14.293  15.1031 14.3262 15.4179 15.0035
 14.8143 15.0584 14.1631 14.6497]","[ 0.5669  0.4716  0.5805  0.5524  0.566   0.5785  0.6454  0.5605 -0.8961
 -0.9105 -0.9208 -0.8552 -0.9392]"
72,Si1,"HEX
",191,15.0998,3.0886,[  2.652877   2.652877   2.477451  90.        90.       120.      ],0.308396,1,-5.11533,0.00026589,3.76697,4,[15.0998],[-0.]
73,La1Pt2Si2,"BCT
",139,92.3363,10.525,[  5.827086   5.827086   5.827086 136.567    136.567     63.10488 ],,5,-5.58131,-5.5658e-05,0.79864,31,[20.4645 21.412  21.424  14.7844 14.2514],[ 1.5857 -1.1649 -1.1672  0.3218  0.4247]
74,C1Si1,"FCC
",216,20.9947,3.17137,[ 3.096527  3.096527  3.096527 60.       60.       60.      ],-0.413945,2,-7.52966,6.175e-05,3.6649,8,[15.7343  5.2604],[-2.5975  2.5975]
75,Hg2Na1,"HEX
",191,76.9756,9.15032,[  5.193419   5.193419   3.295207  90.        90.       119.9925  ],-0.714956,3,-0.87674,-0.000135053,0.80795,25,[33.3749 32.6856 10.915 ],[-0.4221 -0.3662  0.7884]
76,Al1,"FCC
",225,16.4732,2.71981,[ 2.856038  2.856038  2.856038 60.       60.       60.      ],5e-06,1,-3.74356,-1.659e-05,4.42102,3,[16.4589],[0.]
77,N5Nb4,"BCT
",87,103.211,7.10577,[  5.346401   5.346401   5.346401  99.35907   99.35907  132.4353  ],,9,-9.47997,0.000118354,1.67438,45,[11.7789 11.7928 11.7909 11.777  12.8082 10.8218 10.8214 10.8104 10.8094],[-1.6489 -1.6511 -1.6536 -1.6514 -1.5513  2.0371  2.0372  2.0408  2.0411]
78,C1Ta1,"HEX
",187,23.7382,13.4979,[  3.077104   3.077104   2.894917  90.        90.       120.0006  ],,2,-9.80862,-0.00102487,0.625347,9,,
